::ffff:10.0.0.7 - - [08/Dec/2024:05:26:56 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::ffff:10.0.0.7 - - [08/Dec/2024:05:31:50 +0000] "POST /notification/enable-notifications/ HTTP/1.1" 200 48 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:01:12:36 +0000] "GET /status HTTP/1.1" 404 145 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:01:12:36 +0000] "GET /status HTTP/1.1" 404 145 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:01:12:36 +0000] "GET /status HTTP/1.1" 404 145 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:01:15:49 +0000] "POST /notification/update-daily-reminder/ HTTP/1.1" 200 36 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:01:16:20 +0000] "POST /notification/update-daily-reminder/ HTTP/1.1" 200 36 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:03:31:31 +0000] "POST /notification/update-daily-reminder/ HTTP/1.1" 200 36 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:03:46:11 +0000] "POST /notification/update-daily-reminder/ HTTP/1.1" 200 36 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:03:56:56 +0000] "POST /notification/update-daily-reminder/ HTTP/1.1" 200 36 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:04:02:11 +0000] "POST /notification/update-daily-reminder/ HTTP/1.1" 200 36 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:04:05:25 +0000] "POST /notification/update-daily-reminder/ HTTP/1.1" 200 36 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
::ffff:10.0.0.221 - - [09/Dec/2024:04:11:58 +0000] "POST /notification/update-daily-reminder/ HTTP/1.1" 200 36 "-" "expensesmanager/6 CFNetwork/1568.200.51 Darwin/24.1.0"
