6/24/2023, 4:28:01 AM [error]  Message :  Error in verifying token {"code":"auth/id-token-expired","message":"Firebase ID token has expired. Get a fresh ID token from your client app and try again (auth/id-token-expired). See https://firebase.google.com/docs/auth/admin/verify-id-tokens for details on how to retrieve an ID token."}
6/24/2023, 6:05:44 AM [error]  Message :  ----- Reason -----
6/24/2023, 6:05:44 AM [error]  Message :  result is not defined
6/24/2023, 6:06:47 AM [error]  Message :  ----- Reason -----
6/24/2023, 6:06:47 AM [error]  Message :  result is not defined
6/24/2023, 6:08:31 AM [error]  Message :  ----- Reason -----
6/24/2023, 6:08:31 AM [error]  Message :  result is not defined
6/24/2023, 6:09:14 AM [error]  Message :  ----- Reason -----
6/24/2023, 6:09:14 AM [error]  Message :  result is not defined
6/24/2023, 6:09:30 AM [error]  Message :  ----- Reason -----
6/24/2023, 6:09:30 AM [error]  Message :  result is not defined
6/24/2023, 11:09:11 PM [error]  Message :   error in sending the daily reminder notification 
6/24/2023, 11:09:11 PM [error]  Message :  {"code":"app/invalid-credential","message":"Credential implementation provided to initializeApp() via the \"credential\" property failed to fetch a valid Google OAuth2 access token with the following error: \"Error fetching access token: Error while making request: getaddrinfo ENOTFOUND accounts.google.com. Error code: ENOTFOUND\"."}
